Twentieth Century Fox,Somewhere in the Night
Republic Pictures (I),Song of Arizona
Universalcine,Sotto il sole di Roma
Republic Pictures (I),Specter of the Rose
Universal Pictures,The Spider Woman Strikes Back
RKO Radio Pictures,The Spiral Staircase
Monogram Pictures,Spook Busters
Republic Pictures (I),Stagecoach to Denver
RKO Radio Pictures,Step by Step
B.D. Production,A Stolen Life
W. Lee Wilder Productions,Strange Impersonation
Hal Wallis Productions,The Strange Love of Martha Ivers
International Pictures (I),The Stranger
King Brothers Productions,Suspense
Pine-Thomas Productions,Swamp Fire
Monogram Pictures,Swing Parade of 1946
Les Films GibÃ©,La symphonie pastorale
Sol Lesser Productions,Tarzan and the Leopard Woman
Universal Pictures,Terror by Night
Republic Pictures (I),That Brennan Girl
Pine-Thomas Productions,They Made Me a Killer
Warner Bros.,Three Strangers
Metro-Goldwyn-Mayer (MGM),Three Wise Fools
Columbia Pictures,The Thrill of Brazil
RKO Radio Pictures,Till the End of Time
Universal Pictures,The Time of Their Lives
Paramount Pictures,To Each His Own
International Pictures (I),Tomorrow Is Forever
Producciones RodrÃ­guez Hermanos,Los tres GarcÃ­a
Warner Bros.,Two Guys from Milwaukee
Metro-Goldwyn-Mayer (MGM),Two Sisters from Boston
Metro-Goldwyn-Mayer (MGM),Two Smart People
Paramount Pictures,Two Years Before the Mast
Compagnie Franco Coloniale CinÃ©matographique (CFCC),Un revenant
Metro-Goldwyn-Mayer (MGM),Undercurrent
Columbia Pictures,The Unknown
Metro-Goldwyn-Mayer (MGM),Up Goes Maisie
Shochiku,Utamaro o meguru gonin no onna
Republic Pictures (I),Valley of the Zombies
Warner Bros.,The Verdict
Paramount Pictures,The Virginian
Toho Company,Waga seishun ni kuinashi
Excelsior Films,Wanted for Murder
Nero Films,Whistle Stop
RKO Radio Pictures,Without Reservations
Metro-Goldwyn-Mayer (MGM),The Yearling
Hunt Stromberg Productions,Young Widow
Larry Darmour Productions,The Thirteenth Hour
La SociÃ©tÃ© des Films Sirius,L'aigle Ã  deux tÃªtes
Compagnie Industrielle et Commerciale CinÃ©matographique (CICC),Les amoureux sont seuls au monde
John Wayne Productions,Angel and the Badman
Shochiku Ofuna,AnjÃ´-ke no butÃ´kai
Gaumont,Antoine et Antoinette
Republic Pictures (I),Apache Rose
British National Films,Appointment with Crime
Metro-Goldwyn-Mayer (MGM),The Arnelo Affair
RKO Radio Pictures,The Bachelor and the Bobby-Soxer
Sol M. Wurtzel Productions,Backlash
RKO Radio Pictures,Banjo
Metro-Goldwyn-Mayer (MGM),The Beginning or the End
Republic Pictures (I),Bells of San Angelo
Pine-Thomas Productions,Big Town After Dark
Ken Murray Productions,Bill and Coo
The Samuel Goldwyn Company,The Bishop's Wife
Allied Artists Pictures,Black Gold
Republic Pictures (I),Blackmail
Cineguild,Blanche Fury
Ensign Productions of California,Blonde Savage
Columbia Pictures,Blondie in the Dough
Columbia Pictures,Blondie's Anniversary
Columbia Pictures,Blondie's Big Moment
Columbia Pictures,Blondie's Holiday
Enterprise Productions,Body and Soul
Twentieth Century Fox,Boomerang!
RKO Radio Pictures,Born to Kill
Hopalong Cassidy Productions Inc.,Borrowed Trouble
Monogram Pictures,Bowery Buckaroos
Twentieth Century Fox,The Brasher Doubloon
Associated British Picture Corporation (ABPC),Brighton Rock
Mark Hellinger Productions,Brute Force
Universal International Pictures (UI),Buck Privates Come Home
Ben Stoloff Productions,Bury Me Dead
GB Instructional Films,Bush Christmas
Associazione Nazionale Partigiani d'Italia (ANPI),Caccia tragica
Paramount Pictures,Calcutta
Republic Pictures (I),Calendar Girl
Individual Pictures,Captain Boycott
Twentieth Century Fox,Captain from Castile
Federal Films (II),Carnegie Hall
Twentieth Century Fox,Carnival in Costa Rica
Metro-Goldwyn-Mayer (MGM),Cass Timberlane
Lux Film,Il cavaliere misterioso
Warner Bros.,Cheyenne
Monogram Pictures,The Chinese Ring
Benedict Bogeaus Production,Christmas Eve
Beacon Productions (III),Copacabana
Columbia Pictures,The Corpse Came C.O.D.
Herbert Wilcox Productions,The Courtneys of Curzon Street
RKO Radio Pictures,Crossfire
Thomson Productions,Cry Wolf
Metro-Goldwyn-Mayer (MGM),Cynthia
Twentieth Century Fox,Daisy Kenyon
Neptune,La dame d'onze heures
Coronet Films,Dancing with Crime
Metro-Goldwyn-Mayer (MGM),Dark Delusion
Warner Bros.,Dark Passage
Sydney Box Productions,Daybreak
Columbia Pictures,Dead Reckoning
Gainsborough Pictures,Dear Murderer
Paramount Pictures,Dear Ruth
Warner Bros.,Deep Valley
Hal Wallis Productions,Desert Fury
RKO Radio Pictures,Desperate
RKO Radio Pictures,The Devil Thumbs a Ride
RKO Radio Pictures,Dick Tracy Meets Gruesome
RKO Radio Pictures,Dick Tracy's Dilemma
Panamerican Films S.A.,La diosa arrodillada
Hunt Stromberg Productions,Dishonored Lady
CompaÃ±Ã­a Industrial Film EspaÃ±ol S.A. (CIFESA),Don Quijote de la Mancha
Kanin Productions,A Double Life
Columbia Pictures,Down to Earth
Art of This Century Films,Dreams That Money Can Buy
Republic Pictures (I),Driftwood
Films Sacha Gordine,DÃ©dÃ©e d'Anvers
Universal International Pictures (UI),The Egg and I
Deutsche Film (DEFA),Ehe im Schatten
Warner Bros.,Escape Me Never
Fairbanks Company,The Exile
Charles R. Rogers Productions,The Fabulous Dorseys
Walter Mirisch Productions,Fall Guy
RKO Radio Pictures,The Farmer's Daughter
Pine-Thomas Productions,Fear in the Night
Metro-Goldwyn-Mayer (MGM),Fiesta
Bavaria Film,Film ohne Titel
Arpi Productions,For You I Die
Twentieth Century Fox,The Foxes of Harrow
Columbia Pictures,Framed
Ealing Studios,Frieda
Columbia Pictures,Gallant Journey
King Brothers Productions,The Gangster
Twentieth Century Fox,Gentleman's Agreement
Tevere Film,Germania anno zero
Producers Releasing Corporation (PRC),Ghost Town Renegades
Twentieth Century Fox,The Ghost and Mrs. Muir
British National Films,The Ghosts of Berkeley Square
Toho Company,Ginrei no hate
Lux Film,GioventÃ¹ perduta
Paramount Pictures,Golden Earrings
Metro-Goldwyn-Mayer (MGM),Good News
PelÃ­culas Anahuac S.A.,Gran Casino
Metro-Goldwyn-Mayer (MGM),Green Dolphin Street
Columbia Pictures,The Guilt of Janet Ames
Monogram Pictures,The Guilty
Producers-Actors Corporation,Gunfighters
Monogram Pictures,Hard Boiled Mahoney
Nero Films,Heaven Only Knows
Cornell Pictures,Her Husband's Affairs
All-American,Hi De Ho
Metro-Goldwyn-Mayer (MGM),High Barbaree
Metro-Goldwyn-Mayer (MGM),High Wall
RKO Radio Pictures,Honeymoon
Metro-Goldwyn-Mayer (MGM),The Hucksters
Ealing Studios,Hue and Cry
Two Cities Films,Hungry Hill
Hal Wallis Productions,I Walk Alone
Universal International Pictures (UI),I'll Be Yours
London Film Productions,An Ideal Husband
Metro-Goldwyn-Mayer (MGM),If Winter Comes
Camera-Filmproduktion,In jenen Tagen
Two Cities Films,Uncle Silas
Metro-Goldwyn-Mayer (MGM),It Happened in Brooklyn
Roy Del Ruth Productions,It Happened on Fifth Avenue
Interwood Productions,Ivy
Gainsborough Pictures,Jassy
Les Films GibÃ©,Les jeux sont faits
J.E.M. Productions,Johnny O'Clock
Shochiku,JoyÃ» Sumako no koi
Metro-Goldwyn-Mayer (MGM),Killer McCoy
Twentieth Century Fox,Kiss of Death
CeskoslovenskÃ¡ FilmovÃ¡ Spolecnost,Krakatit
Metro-Goldwyn-Mayer (MGM),Lady in the Lake
Universal International Pictures (UI),Larceny
Twentieth Century Fox,The Late George Apley
Tobis Portuguesa,O LeÃ£o da Estrela
Warner Bros.,Life with Father
RKO Radio Pictures,A Likely Story
Metro-Goldwyn-Mayer (MGM),Living in a Big Way
Select Productions (III),The Long Night
Bryan Foy Productions,Lost Honeymoon
Walter Wanger Productions,The Lost Moment
Hunt Stromberg Productions,Lured
Benedict Bogeaus Production,The Macomber Affair
Gainsborough Pictures,The Magic Bow
Robert Riskin Productions,Magic Town
London Film Productions,A Man About the House
SpÃ©va Films,Les maudits
Metro-Goldwyn-Mayer (MGM),Merton of the Movies
Larry Darmour Productions,The Millerson Case
London Film Productions,Mine Own Executioner
Twentieth Century Fox,Miracle on 34th Street
Charles Chaplin Productions,Monsieur Verdoux
Edition et Diffusion CinÃ©matographique (E.D.I.C.),Monsieur Vincent
Twentieth Century Fox,Mother Wore Tights
RKO Radio Pictures,Mourning Becomes Electra
Hope Enterprises,My Favorite Brunette
Warner Bros.,My Wild Irish Rose
Shochiku,Nagaya shinshiroku
Majestic Productions Inc.,New Orleans
Monogram Pictures,News Hounds
Ealing Studios,The Life and Adventures of Nicholas Nickleby
RKO Radio Pictures,Night Song
Warner Bros.,Night Unto Night
Twentieth Century Fox,Nightmare Alley
Warner Bros.,Nora Prentiss
Producciones RodrÃ­guez Hermanos,Nosotros los pobres
Two Cities Films,The October Man
Two Cities Films,Odd Man Out
Republic Pictures (I),On the Old Spanish Trail
Lux Film,L'onorevole Angelina
Enterprise Productions,The Other Love
Bryan Foy Productions,Out of the Blue
RKO Radio Pictures,Out of the Past
Selznick International Pictures,The Paradine Case
Paramount Pictures,The Perils of Pauline
Producers Releasing Corporation (PRC),Philo Vance's Gamble
Kievskaya Kinostudiya (Kiev Film Studio),Podvig razvedchika
Warner Bros.,Possessed
W. Lee Wilder Productions,The Pretender
David L. Loew-Albert Lewin,The Private Affairs of Bel Ami
United States Pictures,Pursued
Majestic Films,Quai des OrfÃ¨vres
Edward F. Finney Productions,Queen of the Amazons
Associated British Picture Corporation (ABPC),Quiet Weekend
Producers Releasing Corporation (PRC),Railroaded!
Enterprise Productions,Ramrod
Sol Lesser Productions,The Red House
Bryan Foy Productions,Repeat Performance
Universal International Pictures (UI),Ride the Pink Horse
RKO Radio Pictures,Riffraff
Bing Crosby Enterprises,Road to Rio
Republic Pictures (I),Robin Hood of Texas
Metro-Goldwyn-Mayer (MGM),The Romance of Rosy Ridge
Sol M. Wurtzel Productions,Roses Are Red
Producciones RaÃºl de Anda,RÃ­o Escondido
Golden Gate Pictures,Scared to Death
Metro-Goldwyn-Mayer (MGM),The Sea of Grass
The Samuel Goldwyn Company,The Secret Life of Walter Mitty
Inter-John Productions,The Senator Was Indiscreet
RKO Radio Pictures,Seven Keys to Baldpate
Pine-Thomas Productions,Seven Were Saved
Robert L. Lippert Productions,Shoot to Kill
Pennant Pictures,The Shop at Sly Corner
Melville Productions,Le silence de la mer
PathÃ© Consortium CinÃ©ma,Le silence est d'or
California Pictures,The Sin of Harold Diddlebock
Universal International Pictures (UI),Singapore
Sveriges Folkbiografer,Skepp till India land
Walter Wanger Productions,Smash-Up: The Story of a Woman
Alliance Productions Ltd.,So Well Remembered
Saga Studio,Soldaten og Jenny
Universal International Pictures (UI),Something in the Wind
Metro-Goldwyn-Mayer (MGM),Song of Love
Universal International Pictures (UI),Song of Scheherazade
Metro-Goldwyn-Mayer (MGM),Song of the Thin Man
Republic Pictures (I),Springtime in the Sierras
Toho Company,Subarashiki nichiyÃ´bi
Paramount Pictures,Suddenly It's Spring
Edward Small Productions,T-Men
Cineguild,Take My Life
Sol Lesser Productions,Tarzan and the Huntress
Warner Bros.,That Hagen Girl
Warner Bros.,That Way with Women
Warner Bros. Pictures,They Made Me a Fugitive
RKO Radio Pictures,They Won't Believe Me
Tudor-Alliance,Things Happen at Night
Metro-Goldwyn-Mayer (MGM),This Time for Keeps
RKO Radio Pictures,Trail Street
Monogram Pictures,The Trap
Warner Bros.,The Two Mrs. Carrolls
RKO Radio Pictures,Tycoon
Paramount Pictures,Unconquered
Metro-Goldwyn-Mayer (MGM),Undercover Maisie
Hopalong Cassidy Productions Inc.,Unexpected Guest
Warner Bros.,The Unfaithful
Metro-Goldwyn-Mayer (MGM),The Unfinished Dance
Michael Curtiz Productions,The Unsuspected
Sydney Box Productions,The Upturned Glass
MAFIRT,Valahol EurÃ³pÃ¡ban
Paramount Pictures,Variety Girl
Mosfilm,Vesna
Bernhard-Brandt Productions,Violence
Lux-Pao,Vivere in pace
Warner Bros.,The Voice of the Turtle
Universal International Pictures (UI),The Web
Paramount Pictures,Welcome Stranger
Sydney Box Productions,When the Bough Breaks
Paramount Pictures,Where There's Life
Edward Dryhurst Productions,While I Live
QuÃ©bec Productions,Whispering City
Fraser & Merrick Pictures,The White Gorilla
Universal International Pictures (UI),The Wistful Widow of Wagon Gap
RKO Radio Pictures,The Woman on the Beach
Universal International Pictures (UI),A Woman's Vengeance
Louis K. Ansell Productions,Women in the Night
P.P. Film Polski,Zakazane piosenki
Bavaria Film,Zwischen gestern und morgen
Argosy Pictures,3 Godfathers
R.K. Films Ltd.,Aag
Universal International Pictures (UI),Bud Abbott and Lou Costello Meet Frankenstein
Hal Wallis Productions,The Accused
Universal International Pictures (UI),An Act of Murder
Warner Bros.,Adventures of Don Juan
Ealing Studios,Against the Wind
Pine-Thomas Productions,Albuquerque
Universal International Pictures (UI),All My Sons
Warner Bros.,Always Together
Compagnie Industrielle et Commerciale CinÃ©matographique (CICC),Les amants de VÃ©rone
Finecine,L'amore
Producciones RodrÃ­guez Hermanos,Angelitos negros
Monogram Pictures,Angels' Alley
London Film Productions,Anna Karenina
Briguglio Films,Anni difficili
Universal International Pictures (UI),Another Part of the Forest
Twentieth Century Fox,Apartment for Peggy
Warner Bros.,April Showers
Enterprise Productions,Arch of Triumph
Eronel Productions,The Argyle Secrets
RKO Radio Pictures,The Arizona Ranger
Compagnie Industrielle et Commerciale CinÃ©matographique (CICC),L'armoire volante
Italia Produzione,Le mura di Malapaga
Metro-Goldwyn-Mayer (MGM),B.F.'s Daughter
Roy Del Ruth Productions,The Babe Ruth Story
Terrafilm,Banketten
Aro Productions Inc.,Behind Locked Doors
Edward L. Alperson Productions,Belle Starr's Daughter
RKO Radio Pictures,Berlin Express
Metro-Goldwyn-Mayer (MGM),Big City
Paramount Pictures,The Big Clock
Columbia Pictures,The Black Arrow
Universal International Pictures (UI),Black Bart
Columbia Pictures,Blondie's Reward
Columbia Pictures,Blondie's Secret
RKO Radio Pictures,Blood on the Moon
RKO Radio Pictures,Bodyguard
RKO Radio Pictures,The Boy with Green Hair
Diadem Films,Brass Monkey
Metro-Goldwyn-Mayer (MGM),The Bride Goes Wild
Twentieth Century Fox,Call Northside 777
Bryan Foy Productions,Canon City
Marston Productions,Casbah
Enterprise Productions,Caught
Les Films AndrÃ© PaulvÃ©,La Chartreuse de Parme
Twentieth Century Fox,Chicken Every Sunday
Metro-Goldwyn-Mayer (MGM),Command Decision
Producers-Actors Corporation,Coroner Creek
Apollo,Corridor of Mirrors
British National Films,Counterblast
Bernard Small Productions,The Creeper
Twentieth Century Fox,Cry of the City
Sol M. Wurtzel Productions,Dangerous Years
Columbia Pictures,The Dark Past
Metro-Goldwyn-Mayer (MGM),A Date with Judy
A.R. Shipman Productions,Daughter of Darkness
Twentieth Century Fox,Deep Waters
Union CinÃ©matographique Lyonnaise (UCIL),Le diable boiteux
Argentina Sono Film S.A.C.I.,Dios se lo pague
Monogram Pictures,Docks of New Orleans
CinematogrÃ¡fica Filmex S.A.,DoÃ±a Diabla
King Brothers Productions,The Dude Goes West
Metro-Goldwyn-Mayer (MGM),Easter Parade
Warner Bros.,Embraceable You
Paramount Pictures,The Emperor Waltz
The Samuel Goldwyn Company,Enchantment
Twentieth Century-Fox Productions,Escape
Svensk Filmindustri (SF),Eva
RKO Radio Pictures,Every Girl Should Be Married
Republic Pictures (I),Eyes of Texas
London Film Productions,The Fallen Idol
Hopalong Cassidy Productions Inc.,False Paradise
Universal International Pictures (UI),Family Honeymoon
Monogram Pictures,The Feathered Serpent
Warner Bros.,Fighter Squadron
RKO Radio Pictures,Fighting Father Dunne
Universal International Pictures (UI),For the Love of Mary
British Lion Film Corporation,Forbidden
Enterprise Productions,Force of Evil
Paramount Pictures,A Foreign Affair
Argosy Pictures,Fort Apache
Enterprise Productions,Four Faces West
Columbia Pictures,The Fuller Brush Man
Twentieth Century Fox,Fury at Furnace Creek
Monogram Pictures,The Golden Eye
Rainbow Productions,Good Sam
Ambassador . . . Bushey Productions,The Greed of William Hart
Twentieth Century Fox,Green Grass of Wyoming
Pilgrim Pictures,The Guinea Pig
RKO Radio Pictures,Guns of Hate
Two Cities Films,Hamlet
Svensk Filmindustri (SF),Hamnstad
Gainsborough Pictures,Here Come the Huggetts
Hal Roach Studios,Here Comes Trouble
Metro-Goldwyn-Mayer (MGM),Hills of Home
Gainsborough Pictures,Holiday Camp
Metro-Goldwyn-Mayer (MGM),Homecoming
International Motion Pictures (II),House of Darkness
Scott R. Dunlap Productions,The Hunted
Cornell Pictures,I Love Trouble
RKO Radio Pictures,I Remember Mama
Walter Mirisch Productions,I Wouldn't Be in Your Shoes
RKO Radio Pictures,If You Knew Susie
Suomi-Filmi,Ihmiset suviyÃ¶ssÃ¤
B.U.P. FranÃ§aise,Impasse des deux anges
M.R.S. Pictures Inc.,Inner Sanctum
Republic Pictures (I),The Inside Story
Twentieth Century Fox,The Iron Curtain
Ealing Studios,It Always Rains on Sunday
Monogram Pictures,Jinx Money
Walter Wanger Productions,Joan of Arc
Warner Bros.,Johnny Belinda
Cady Films,Jour de fÃªte
Metro-Goldwyn-Mayer (MGM),Julia Misbehaves
Warner Bros.,June Bride
Lippert Pictures,Jungle Goddess
Sam Katzman Productions,Jungle Jim
Shochiku,Kaze no naka no mendori
Warner Bros.,Key Largo
Lindsley Parsons Picture Corporation,Kidnapped
Norma Productions,Kiss the Blood Off My Hands
Metro-Goldwyn-Mayer (MGM),The Kissing Bandit
Produzioni De Sica (PDS),Ladri di biciclette
Mercury Productions,The Lady from Shanghai
Robert L. Lippert Productions,Last of the Wild Horses
William Dozier Productions,Letter from an Unknown Woman
Individual Pictures,London Belongs to Me
Robert Flaherty Productions Inc.,Louisiana Story
The Beckworth Corporation,The Loves of Carmen
Twentieth Century Fox,The Luck of the Irish
Benedict Bogeaus Production,Lulu Belle
Metro-Goldwyn-Mayer (MGM),Luxury Liner
Mercury Productions,Macbeth
Tevere Film,La macchina ammazzacattivi
CinematogrÃ¡fica Filmex S.A.,Maclovia
Columbia Pictures,The Mating of Millie
Universal International Pictures (UI),Mexican Hayride
Jesse L. Lasky Productions,The Miracle of the Bells
Sydney Box Productions,Miranda
Paramount Pictures,Miss Tatlock's Millions
Hallmark Productions,Mom and Dad
Sigmund Neufeld Productions,Money Madness
Victoria Film (Productions) Ltd.,The Glass Mountain
Republic Pictures (I),Moonrise
RKO Radio Pictures,Mr. Blandings Builds His Dream House
Nunnally Johnson Productions,Mr. Peabody and the Mermaid
Two Cities Films,Mr. Perrin and Mr. Traill
Lux Film,Il mulino del Po
Terrafilm,Musik i mÃ¶rker
Associated British Picture Corporation (ABPC),My Brother Jonathan
